event_id,scene_id,type,choice_id,next_event,speakerId,char_slot,char_slot_move,expression,type_control,textId,stats,bgm,sfx,popup_type,popup_asset
10100,S01,bgm,,10200,,,,,,,,bgm_intro,,,
10200,S01,narration,,10300,PLAYER,center,start,surprised,,T10200,,,,,
10300,S01,narration,,10400,PLAYER,center,start,surprised,,T10300,,,,,
10400,S01,narration,,10500,PLAYER,,,nervous,,T10400,,,,,
10500,S01,dialogue,,10600,STAFF,right,start,default,,T10500,,,,,
10600,S01,dialogue,,10700,STAFF,,,,,T10600,,,,,
10700,S01,narration,,10800,,,,,,T10700,,,,,
10800,S01,choice,C001,,,,,,,T10800,,,,,
10801,S01,choice_option,C001,10811,,,,,,T10801,personality=hesitant,,,,
10802,S01,choice_option,C001,10821,,,,,,T10802,personality=decisive,,,,
10803,S01,choice_option,C001,10831,,,,,,T10803,personality=emotional,,,,
10811,S01,narration,,10900,,,,,,T10811,,,,,
10821,S01,narration,,10900,,,,,,T10821,,,,,
10831,S01,narration,,10832,,,,,,T10831,,,,,
10832,S01,narration,,10900,,,,,,T10832,,,,,
10900,S01,narration,,11000,PLAYER,,,,,T10900,,,,,
11000,S01,narration,,11100,PLAYER,,,,,T11000,,,,,
11100,S01,dialogue,,11200,STAFF,,,,,T11100,,,,,
11200,S01,dialogue,,11300,STAFF,,,,,T11200,,,,,
11300,S01,narration,,11400,,,,,,T11300,,,,,
11400,S01,system,,11500,,,,,,T11400,,,,,
11500,S01,popup,,11600,,,,,open,,,,,image,popup_letter
11600,S01,narration,,11700,PLAYER,,,,,T11600,,,,,
11700,S01,popup,,11800,,,,,close,,,,,,
11800,S01,narration,,11900,PLAYER,,,,,T11800,,,,,
11900,S01,narration,,12000,PLAYER,,,determined,,T11900,,,,,
12000,S01,checkpoint,,20100,,,,,,,,,,,
20100,S02,bgm,,20200,,,,,,,,bgm_corridor,,,
20200,S02,narration,,20300,,,,,,T20200,,,,,
20300,S02,narration,,20400,PLAYER,center,start,neutral,,T20300,,,,,
20400,S02,narration,,20500,PLAYER,,,,,T20400,,,,,
20500,S02,effect,,20600,,,,,shake,,,,sfx_bump,,
20600,S02,narration,,20700,PLAYER,left,end,surprised,,T20600,,,,,
20700,S02,narration,,20800,,,,,,T20700,,,,,
20800,S02,dialogue,,20900,SEOA,right,start,cold,,T20800,,,,,
20900,S02,dialogue,,21000,PLAYER,center,start,nervous,,T20900,,,,,
21000,S02,dialogue,,21100,SEOA,,,cold,,T21000,,,,,
21100,S02,char_exit,,21200,SEOA,right,end,,,,,,sfx_heels,,
21200,S02,narration,,21300,,,,,,T21200,,,,,
21300,S02,narration,,21400,PLAYER,,,angry,,T21300,,,,,
21400,S02,dialogue,,21500,HARIN,right,start,happy,,T21400,,,,,
21500,S02,dialogue,,21600,PLAYER,,,default,,T21500,,,,,
21600,S02,dialogue,,21700,HARIN,,,happy,,T21600,,,,,
21700,S02,dialogue,,21800,HARIN,,,happy,,T21700,,,,,
21800,S02,char_exit,,21900,HARIN,right,end,,,,,,,,
21900,S02,narration,,22000,PLAYER,center,start,default,,T21900,,,,,
22000,S02,narration,,22100,,,,,,T22000,,,,,
22100,S02,dialogue,,22200,PLAYER,,,default,,T22100,,,,,
22200,S02,narration,,22300,YUNA,right,start,nervous,,T22200,,,,,
22300,S02,dialogue,,22400,YUNA,,,nervous,,T22300,,,,,
22400,S02,char_exit,,22500,YUNA,right,end,,,,,,sfx_run,,
22500,S02,dialogue,,22600,PLAYER,,,confused,,T22500,,,,,
22600,S02,checkpoint,,30100,,,,,,,,,,,
30100,S03,bgm,,30200,,,,,,,,bgm_tense,,,
30200,S03,narration,,30300,,,,,,T30200,,,,,
30300,S03,narration,,30400,PLAYER,center,start,nervous,,T30300,,,,,
30400,S03,narration,,30500,PLAYER,,,,,T30400,,,,,
30500,S03,dialogue,,30600,PD,left,start,default,,T30500,,,,,
30600,S03,narration,,30700,PLAYER,,,,,T30600,,,sfx_swallow,,
30700,S03,dialogue,,30800,PD,,,default,,T30700,,,,,
30800,S03,choice,C002,,,,,,,T30800,,,,,
30801,S03,choice_option,C002,30811,,,,,,T30801,skill+3,,,,
30802,S03,choice_option,C002,30821,,,,,,T30802,effort+3,,,,
30803,S03,choice_option,C002,30831,,,,,,T30803,broadcast+3,,,,
30811,S03,dialogue,,30812,PLAYER,,,determined,,T30811,,,,,
30812,S03,dialogue,,30900,PD,,,default,,T30812,,,,,
30821,S03,dialogue,,30822,PLAYER,,,,,T30821,,,,,
30822,S03,dialogue,,30900,PD,,,default,,T30822,,,,,
30831,S03,dialogue,,30832,PLAYER,,,determined,,T30831,,,,,
30832,S03,dialogue,,30900,PD,,,smile,,T30832,,,,,
30900,S03,narration,,31000,PLAYER,,,,,T30900,,,,,
31000,S03,dialogue,,31100,PLAYER,,,determined,,T31000,,,,,
31100,S03,scene_end,,,,,,,,,,,,,
